buying	maintenance	doors	persons	lug_boot	safety	rating
vhigh	med	5more	4	med	med	TRUE
vhigh	med	5more	4	big	med	TRUE
vhigh	med	5more	4	big	high	TRUE
vhigh	med	5more	more	small	med	FALSE
vhigh	med	5more	more	small	high	TRUE
vhigh	med	5more	more	med	low	FALSE
vhigh	med	5more	more	med	high	TRUE
vhigh	med	5more	more	big	low	FALSE
vhigh	low	2	2	small	low	FALSE
vhigh	low	2	2	small	high	FALSE
vhigh	low	2	2	big	low	FALSE
vhigh	low	2	2	big	high	FALSE
vhigh	low	2	4	med	low	FALSE
vhigh	low	2	4	big	low	FALSE
vhigh	low	2	4	big	med	TRUE
vhigh	low	2	more	small	low	FALSE
vhigh	low	2	more	small	med	FALSE
vhigh	low	2	more	small	high	FALSE
vhigh	low	2	more	med	med	FALSE
vhigh	low	2	more	med	high	TRUE
vhigh	low	2	more	big	med	TRUE
vhigh	low	2	more	big	high	TRUE
vhigh	low	3	2	small	med	FALSE
vhigh	low	3	2	big	low	FALSE
vhigh	low	3	4	small	med	FALSE
vhigh	low	3	4	med	low	FALSE
vhigh	low	3	4	big	high	TRUE
vhigh	low	3	more	small	low	FALSE
vhigh	low	3	more	small	med	FALSE
vhigh	low	3	more	small	high	TRUE
vhigh	low	3	more	med	low	FALSE
vhigh	low	4	2	small	med	FALSE
vhigh	low	4	2	med	med	FALSE
vhigh	low	4	2	med	high	FALSE
vhigh	low	4	2	big	high	FALSE
vhigh	low	4	4	small	low	FALSE
vhigh	low	4	4	med	high	TRUE
vhigh	low	4	4	big	low	FALSE
vhigh	low	4	4	big	high	TRUE
vhigh	low	4	more	small	med	FALSE
vhigh	low	4	more	small	high	TRUE
vhigh	low	4	more	med	low	FALSE
vhigh	low	4	more	med	med	TRUE
vhigh	low	4	more	big	low	FALSE
vhigh	low	4	more	big	med	TRUE
vhigh	low	4	more	big	high	TRUE
vhigh	low	5more	2	small	med	FALSE
vhigh	low	5more	2	med	med	FALSE
vhigh	low	5more	2	big	low	FALSE
vhigh	low	5more	2	big	med	FALSE
vhigh	low	5more	4	small	high	TRUE
vhigh	low	5more	4	med	low	FALSE
vhigh	low	5more	4	med	high	TRUE
vhigh	low	5more	4	big	low	FALSE
vhigh	low	5more	4	big	med	TRUE
vhigh	low	5more	more	small	low	FALSE
vhigh	low	5more	more	small	med	FALSE
vhigh	low	5more	more	small	high	TRUE
vhigh	low	5more	more	med	med	TRUE
vhigh	low	5more	more	big	med	TRUE
high	vhigh	2	2	small	med	FALSE
high	vhigh	2	2	small	high	FALSE
high	vhigh	2	2	med	med	FALSE
high	vhigh	2	2	big	high	FALSE
high	vhigh	2	4	small	low	FALSE
high	vhigh	2	4	small	med	FALSE
high	vhigh	2	4	small	high	FALSE
high	vhigh	2	4	med	low	FALSE
high	vhigh	2	4	big	med	FALSE
high	vhigh	2	more	small	high	FALSE
high	vhigh	2	more	big	low	FALSE
high	vhigh	2	more	big	med	FALSE
high	vhigh	3	2	small	low	FALSE
high	vhigh	3	2	small	med	FALSE
high	vhigh	3	2	small	high	FALSE
high	vhigh	3	2	med	med	FALSE
high	vhigh	3	2	med	high	FALSE
high	vhigh	3	2	big	low	FALSE
high	vhigh	3	2	big	high	FALSE
high	vhigh	3	4	small	med	FALSE
high	vhigh	3	4	small	high	FALSE
high	vhigh	3	4	med	med	FALSE
high	vhigh	3	4	med	high	FALSE
high	vhigh	3	4	big	med	FALSE
high	vhigh	3	more	small	high	FALSE
high	vhigh	3	more	med	low	FALSE
high	vhigh	3	more	med	high	FALSE
high	vhigh	4	2	small	med	FALSE
high	vhigh	4	2	small	high	FALSE
high	vhigh	4	2	big	low	FALSE
high	vhigh	4	2	big	med	FALSE
high	vhigh	4	2	big	high	FALSE
high	vhigh	4	4	small	low	FALSE
high	vhigh	4	4	small	med	FALSE
high	vhigh	4	4	med	high	FALSE
high	vhigh	4	4	big	med	FALSE
high	vhigh	4	more	med	low	FALSE
high	vhigh	4	more	med	med	FALSE
high	vhigh	4	more	med	high	FALSE
high	vhigh	4	more	big	med	FALSE
high	vhigh	5more	2	small	med	FALSE
high	vhigh	5more	2	small	high	FALSE
high	vhigh	5more	2	med	low	FALSE
high	vhigh	5more	2	med	med	FALSE
high	vhigh	5more	2	med	high	FALSE
high	vhigh	5more	2	big	low	FALSE
high	vhigh	5more	2	big	med	FALSE
high	vhigh	5more	4	small	med	FALSE
high	vhigh	5more	4	small	high	FALSE
high	vhigh	5more	4	med	low	FALSE
high	vhigh	5more	4	med	high	FALSE
high	vhigh	5more	4	big	low	FALSE
high	vhigh	5more	4	big	high	FALSE
high	vhigh	5more	more	small	med	FALSE
high	vhigh	5more	more	med	high	FALSE
high	vhigh	5more	more	big	med	FALSE
high	vhigh	5more	more	big	high	FALSE
high	high	2	2	small	med	FALSE
high	high	2	2	med	high	FALSE
high	high	2	2	big	low	FALSE
high	high	2	2	big	high	FALSE
high	high	2	4	small	med	FALSE
high	high	2	4	small	high	TRUE
high	high	2	4	med	low	FALSE
high	high	2	4	med	med	FALSE
high	high	2	4	med	high	TRUE
high	high	2	4	big	low	FALSE
high	high	2	4	big	med	TRUE
high	high	2	4	big	high	TRUE
high	high	2	more	small	low	FALSE
high	high	2	more	med	high	TRUE
high	high	2	more	big	med	TRUE
high	high	3	2	small	low	FALSE
high	high	3	2	small	high	FALSE
high	high	3	2	med	low	FALSE
high	high	3	2	med	high	FALSE
high	high	3	2	big	low	FALSE
high	high	3	2	big	med	FALSE
high	high	3	2	big	high	FALSE
high	high	3	4	small	low	FALSE
high	high	3	4	small	med	FALSE
high	high	3	4	small	high	TRUE
high	high	3	4	big	med	TRUE
high	high	3	more	small	low	FALSE
high	high	3	more	small	med	FALSE
high	high	3	more	small	high	TRUE
high	high	3	more	med	med	TRUE
high	high	3	more	big	low	FALSE
high	high	3	more	big	med	TRUE
high	high	3	more	big	high	TRUE
high	high	4	2	small	low	FALSE
high	high	4	2	med	low	FALSE
high	high	4	2	big	med	FALSE
high	high	4	2	big	high	FALSE
high	high	4	4	small	low	FALSE
high	high	4	4	small	med	FALSE
high	high	4	4	med	low	FALSE
high	high	4	4	med	med	TRUE
high	high	4	4	med	high	TRUE
high	high	4	4	big	high	TRUE
high	high	4	more	small	low	FALSE
high	high	4	more	small	med	FALSE
high	high	4	more	med	high	TRUE
high	high	4	more	big	med	TRUE
high	high	5more	2	small	med	FALSE
high	high	5more	2	small	high	FALSE
high	high	5more	4	small	med	FALSE
high	high	5more	4	med	low	FALSE
high	high	5more	4	med	med	TRUE
high	high	5more	4	med	high	TRUE
high	high	5more	more	med	low	FALSE
high	high	5more	more	med	med	TRUE
high	high	5more	more	big	low	FALSE
high	high	5more	more	big	med	TRUE
high	high	5more	more	big	high	TRUE
high	med	2	2	small	low	FALSE
high	med	2	2	small	high	FALSE
high	med	2	2	med	low	FALSE
high	med	2	2	big	med	FALSE
high	med	2	2	big	high	FALSE
high	med	2	4	small	low	FALSE
high	med	2	4	small	med	FALSE
high	med	2	4	small	high	TRUE
high	med	2	4	med	med	FALSE
high	med	2	4	big	low	FALSE
high	med	2	4	big	med	TRUE
high	med	2	4	big	high	TRUE
high	med	2	more	small	med	FALSE
high	med	2	more	med	low	FALSE
high	med	2	more	med	med	FALSE
high	med	2	more	big	low	FALSE
high	med	2	more	big	med	TRUE
high	med	2	more	big	high	TRUE
high	med	3	2	small	med	FALSE
high	med	3	2	small	high	FALSE
high	med	3	2	med	med	FALSE
high	med	3	2	med	high	FALSE
high	med	3	2	big	low	FALSE
high	med	3	2	big	med	FALSE
high	med	3	4	small	low	FALSE
high	med	3	4	small	med	FALSE
high	med	3	4	med	low	FALSE
high	med	3	4	med	med	FALSE
high	med	3	4	big	high	TRUE
high	med	3	more	small	low	FALSE
high	med	3	more	med	low	FALSE
high	med	3	more	med	high	TRUE
high	med	3	more	big	low	FALSE
high	med	4	2	small	low	FALSE
high	med	4	2	small	med	FALSE
high	med	4	2	small	high	FALSE
high	med	4	2	big	low	FALSE
high	med	4	4	small	high	TRUE
high	med	4	4	big	low	FALSE
high	med	4	4	big	med	TRUE
high	med	4	4	big	high	TRUE
high	med	4	more	small	med	FALSE
high	med	4	more	med	low	FALSE
high	med	4	more	med	high	TRUE
high	med	4	more	big	low	FALSE
high	med	4	more	big	high	TRUE
high	med	5more	2	small	low	FALSE
high	med	5more	2	small	high	FALSE
high	med	5more	2	med	high	FALSE
high	med	5more	2	big	med	FALSE
high	med	5more	2	big	high	FALSE
high	med	5more	4	small	med	FALSE
high	med	5more	4	big	low	FALSE
high	med	5more	4	big	high	TRUE
high	med	5more	more	small	high	TRUE
high	med	5more	more	med	high	TRUE
high	low	2	2	small	low	FALSE
high	low	2	2	small	med	FALSE
high	low	2	2	small	high	FALSE
high	low	2	2	med	low	FALSE
high	low	2	2	med	med	FALSE
high	low	2	2	med	high	FALSE
high	low	2	2	big	low	FALSE
high	low	2	4	small	low	FALSE
high	low	2	4	small	high	TRUE
high	low	2	4	big	low	FALSE
high	low	2	4	big	med	TRUE
high	low	2	more	small	high	FALSE
high	low	2	more	med	med	FALSE
high	low	2	more	big	low	FALSE
high	low	2	more	big	med	TRUE
high	low	3	2	small	low	FALSE
high	low	3	2	small	high	FALSE
high	low	3	2	big	low	FALSE
high	low	3	2	big	med	FALSE
high	low	3	2	big	high	FALSE
high	low	3	4	small	low	FALSE
high	low	3	4	small	med	FALSE
high	low	3	4	med	low	FALSE
high	low	3	4	med	med	FALSE
high	low	3	4	med	high	TRUE
high	low	3	4	big	low	FALSE
high	low	3	4	big	med	TRUE
high	low	3	more	med	med	TRUE
high	low	3	more	med	high	TRUE
high	low	3	more	big	low	FALSE
high	low	3	more	big	med	TRUE
high	low	3	more	big	high	TRUE
high	low	4	2	small	med	FALSE
high	low	4	2	med	low	FALSE
high	low	4	2	med	high	FALSE
high	low	4	2	big	med	FALSE
high	low	4	2	big	high	FALSE
high	low	4	4	small	low	FALSE
high	low	4	4	med	med	TRUE
high	low	4	4	med	high	TRUE
high	low	4	4	big	low	FALSE
high	low	4	4	big	med	TRUE
high	low	4	4	big	high	TRUE
high	low	4	more	small	low	FALSE
high	low	4	more	med	high	TRUE
high	low	4	more	big	high	TRUE
high	low	5more	2	small	low	FALSE
high	low	5more	2	small	high	FALSE
high	low	5more	2	med	high	FALSE
high	low	5more	2	big	med	FALSE
high	low	5more	2	big	high	FALSE
high	low	5more	4	small	high	TRUE
high	low	5more	4	med	low	FALSE
high	low	5more	4	med	med	TRUE
high	low	5more	4	med	high	TRUE
high	low	5more	4	big	med	TRUE
high	low	5more	4	big	high	TRUE
high	low	5more	more	small	med	FALSE
high	low	5more	more	big	med	TRUE
med	vhigh	2	2	small	low	FALSE
med	vhigh	2	2	small	med	FALSE
med	vhigh	2	2	med	low	FALSE
med	vhigh	2	2	med	high	FALSE
med	vhigh	2	2	big	med	FALSE
med	vhigh	2	2	big	high	FALSE
med	vhigh	2	4	small	low	FALSE
med	vhigh	2	4	med	low	FALSE
med	vhigh	2	4	med	high	TRUE
med	vhigh	2	4	big	med	TRUE
med	vhigh	2	4	big	high	TRUE
med	vhigh	2	more	small	low	FALSE
med	vhigh	2	more	small	high	FALSE
med	vhigh	2	more	med	high	TRUE
med	vhigh	2	more	big	low	FALSE
med	vhigh	2	more	big	med	TRUE
med	vhigh	3	2	small	high	FALSE
med	vhigh	3	2	med	med	FALSE
med	vhigh	3	2	big	med	FALSE
med	vhigh	3	2	big	high	FALSE
med	vhigh	3	4	small	low	FALSE
med	vhigh	3	4	small	med	FALSE
med	vhigh	3	4	small	high	TRUE
med	vhigh	3	4	big	low	FALSE
med	vhigh	3	4	big	med	TRUE
med	vhigh	3	4	big	high	TRUE
med	vhigh	3	more	small	low	FALSE
med	vhigh	3	more	small	high	TRUE
med	vhigh	3	more	med	med	TRUE
med	vhigh	3	more	big	med	TRUE
med	vhigh	4	2	small	high	FALSE
med	vhigh	4	2	med	low	FALSE
med	vhigh	4	2	med	med	FALSE
med	vhigh	4	2	med	high	FALSE
med	vhigh	4	2	big	med	FALSE
med	vhigh	4	4	small	low	FALSE
med	vhigh	4	4	small	med	FALSE
med	vhigh	4	4	med	med	TRUE
med	vhigh	4	4	big	low	FALSE
med	vhigh	4	4	big	high	TRUE
med	vhigh	4	more	small	low	FALSE
med	vhigh	4	more	small	med	FALSE
med	vhigh	4	more	med	low	FALSE
med	vhigh	4	more	big	med	TRUE
med	vhigh	4	more	big	high	TRUE
med	vhigh	5more	2	small	low	FALSE
med	vhigh	5more	2	small	med	FALSE
med	vhigh	5more	2	small	high	FALSE
med	vhigh	5more	2	med	low	FALSE
med	vhigh	5more	2	med	high	FALSE
med	vhigh	5more	2	big	med	FALSE
med	vhigh	5more	4	small	med	FALSE
med	vhigh	5more	4	med	med	TRUE
med	vhigh	5more	4	big	low	FALSE
med	vhigh	5more	4	big	high	TRUE
med	vhigh	5more	more	small	high	TRUE
med	vhigh	5more	more	med	low	FALSE
med	vhigh	5more	more	med	med	TRUE
med	vhigh	5more	more	big	low	FALSE
med	high	2	2	small	low	FALSE
med	high	2	2	small	med	FALSE
med	high	2	2	small	high	FALSE
med	high	2	2	med	low	FALSE
med	high	2	2	med	high	FALSE
med	high	2	2	big	low	FALSE
med	high	2	4	small	low	FALSE
med	high	2	4	med	low	FALSE
med	high	2	4	big	low	FALSE
med	high	2	4	big	high	TRUE
med	high	2	more	small	med	FALSE
med	high	2	more	small	high	FALSE
med	high	2	more	med	med	FALSE
med	high	2	more	med	high	TRUE
med	high	2	more	big	low	FALSE
med	high	2	more	big	high	TRUE
med	high	3	2	small	high	FALSE
med	high	3	2	med	med	FALSE
med	high	3	2	big	low	FALSE
med	high	3	2	big	med	FALSE
med	high	3	2	big	high	FALSE
med	high	3	4	small	low	FALSE
med	high	3	4	small	high	TRUE
med	high	3	4	med	low	FALSE
med	high	3	4	big	low	FALSE
med	high	3	4	big	high	TRUE
med	high	3	more	small	low	FALSE
med	high	3	more	small	med	FALSE
med	high	3	more	small	high	TRUE
med	high	3	more	med	low	FALSE
med	high	3	more	med	med	TRUE
med	high	3	more	med	high	TRUE
med	high	3	more	big	med	TRUE
med	high	4	2	small	high	FALSE
med	high	4	2	med	high	FALSE
med	high	4	2	big	low	FALSE
med	high	4	2	big	med	FALSE
med	high	4	4	small	high	TRUE
med	high	4	4	med	low	FALSE
med	high	4	4	big	low	FALSE
med	high	4	4	big	med	TRUE
med	high	4	more	small	low	FALSE
med	high	4	more	med	low	FALSE
med	high	4	more	big	med	TRUE
med	high	5more	2	small	low	FALSE
med	high	5more	2	small	med	FALSE
med	high	5more	2	small	high	FALSE
med	high	5more	2	med	med	FALSE
med	high	5more	2	big	med	FALSE
med	high	5more	4	small	low	FALSE
med	high	5more	4	med	med	TRUE
med	high	5more	4	med	high	TRUE
med	high	5more	4	big	low	FALSE
med	high	5more	4	big	med	TRUE
med	high	5more	more	small	low	FALSE
med	high	5more	more	small	med	FALSE
med	high	5more	more	med	low	FALSE
med	high	5more	more	big	low	FALSE
med	high	5more	more	big	med	TRUE
med	med	2	2	small	low	FALSE
med	med	2	2	small	med	FALSE
med	med	2	2	small	high	FALSE
med	med	2	2	med	low	FALSE
med	med	2	2	big	low	FALSE
med	med	2	2	big	high	FALSE
med	med	2	4	small	med	TRUE
med	med	2	4	med	low	FALSE
med	med	2	4	big	low	FALSE
med	med	2	more	small	low	FALSE
med	med	2	more	small	med	FALSE
med	med	2	more	med	low	FALSE
med	med	2	more	med	med	TRUE
med	med	2	more	med	high	TRUE
med	med	2	more	big	med	TRUE
med	med	3	2	small	low	FALSE
med	med	3	2	small	med	FALSE
med	med	3	2	small	high	FALSE
med	med	3	2	med	med	FALSE
med	med	3	2	med	high	FALSE
med	med	3	4	small	high	TRUE
med	med	3	4	med	low	FALSE
med	med	3	4	med	med	TRUE
med	med	3	4	big	med	TRUE
med	med	3	more	small	low	FALSE
med	med	3	more	small	high	TRUE
med	med	3	more	med	med	TRUE
med	med	3	more	big	high	TRUE
med	med	4	2	small	high	FALSE
med	med	4	2	med	low	FALSE
med	med	4	2	med	high	FALSE
med	med	4	2	big	med	FALSE
med	med	4	4	small	low	FALSE
med	med	4	4	small	high	TRUE
med	med	4	4	med	high	TRUE
med	med	4	4	big	med	TRUE
med	med	4	4	big	high	TRUE
med	med	4	more	med	low	FALSE
med	med	4	more	med	med	TRUE
med	med	4	more	big	med	TRUE
med	med	5more	2	small	low	FALSE
med	med	5more	2	small	med	FALSE
med	med	5more	2	med	low	FALSE
med	med	5more	2	med	med	FALSE
med	med	5more	4	small	med	TRUE
med	med	5more	4	small	high	TRUE
med	med	5more	4	med	low	FALSE
med	med	5more	4	big	low	FALSE
med	med	5more	4	big	med	TRUE
med	med	5more	4	big	high	TRUE
med	med	5more	more	small	med	TRUE
med	med	5more	more	med	high	TRUE
med	med	5more	more	big	low	FALSE
med	med	5more	more	big	high	TRUE
med	low	2	2	small	low	FALSE
med	low	2	2	small	med	FALSE
med	low	2	2	med	low	FALSE
med	low	2	2	med	med	FALSE
med	low	2	2	big	low	FALSE
med	low	2	2	big	med	FALSE
med	low	2	2	big	high	FALSE
med	low	2	4	small	low	FALSE
med	low	2	4	small	med	TRUE
med	low	2	4	med	high	TRUE
med	low	2	4	big	med	TRUE
med	low	2	4	big	high	TRUE
med	low	2	more	small	low	FALSE
med	low	2	more	med	low	FALSE
med	low	2	more	med	high	TRUE
med	low	2	more	big	med	TRUE
med	low	3	2	small	low	FALSE
med	low	3	2	big	med	FALSE
med	low	3	2	big	high	FALSE
med	low	3	4	small	low	FALSE
med	low	3	4	small	high	TRUE
med	low	3	4	med	med	TRUE
med	low	3	4	big	low	FALSE
med	low	3	4	big	med	TRUE
med	low	3	4	big	high	TRUE
med	low	3	more	med	high	TRUE
med	low	3	more	big	med	TRUE
med	low	3	more	big	high	TRUE
med	low	4	2	med	low	FALSE
med	low	4	2	med	med	FALSE
med	low	4	4	small	high	TRUE
med	low	4	4	med	low	FALSE
med	low	4	4	big	low	FALSE
med	low	4	4	big	high	TRUE
med	low	4	more	med	low	FALSE
med	low	4	more	big	low	FALSE
med	low	4	more	big	med	TRUE
med	low	5more	2	small	low	FALSE
med	low	5more	2	small	high	FALSE
med	low	5more	2	med	high	FALSE
med	low	5more	2	big	low	FALSE
med	low	5more	4	small	low	FALSE
med	low	5more	4	small	med	TRUE
med	low	5more	4	small	high	TRUE
med	low	5more	4	med	low	FALSE
med	low	5more	4	med	med	TRUE
med	low	5more	4	big	med	TRUE
med	low	5more	more	small	low	FALSE
med	low	5more	more	small	med	TRUE
med	low	5more	more	med	low	FALSE
med	low	5more	more	big	high	TRUE
low	vhigh	2	2	small	low	FALSE
low	vhigh	2	2	big	med	FALSE
low	vhigh	2	2	big	high	FALSE
low	vhigh	2	4	small	high	TRUE
low	vhigh	2	4	med	low	FALSE
low	vhigh	2	4	med	med	FALSE
low	vhigh	2	4	med	high	TRUE
low	vhigh	2	4	big	low	FALSE
low	vhigh	2	4	big	med	TRUE
low	vhigh	2	4	big	high	TRUE
low	vhigh	2	more	small	med	FALSE
low	vhigh	2	more	med	low	FALSE
low	vhigh	2	more	big	low	FALSE
low	vhigh	2	more	big	high	TRUE
low	vhigh	3	2	small	med	FALSE
low	vhigh	3	2	small	high	FALSE
low	vhigh	3	2	med	med	FALSE
low	vhigh	3	2	big	high	FALSE
low	vhigh	3	4	small	low	FALSE
low	vhigh	3	4	med	low	FALSE
low	vhigh	3	4	med	high	TRUE
low	vhigh	3	4	big	low	FALSE
low	vhigh	3	more	small	low	FALSE
low	vhigh	3	more	med	low	FALSE
low	vhigh	3	more	med	med	TRUE
low	vhigh	4	2	small	med	FALSE
low	vhigh	4	2	med	low	FALSE
low	vhigh	4	2	med	med	FALSE
low	vhigh	4	2	big	low	FALSE
low	vhigh	4	2	big	high	FALSE
low	vhigh	4	4	small	low	FALSE
low	vhigh	4	4	small	med	FALSE
low	vhigh	4	4	small	high	TRUE
low	vhigh	4	4	big	high	TRUE
low	vhigh	4	more	small	low	FALSE
low	vhigh	4	more	small	med	FALSE
low	vhigh	4	more	med	low	FALSE
low	vhigh	4	more	med	high	TRUE
low	vhigh	4	more	big	high	TRUE
low	vhigh	5more	2	small	med	FALSE
low	vhigh	5more	2	med	low	FALSE
low	vhigh	5more	2	med	med	FALSE
low	vhigh	5more	2	med	high	FALSE
low	vhigh	5more	2	big	low	FALSE
low	vhigh	5more	4	small	high	TRUE
low	vhigh	5more	4	med	med	TRUE
low	vhigh	5more	4	med	high	TRUE
low	vhigh	5more	more	small	med	FALSE
low	vhigh	5more	more	big	med	TRUE
low	high	2	2	small	high	FALSE
low	high	2	2	big	med	FALSE
low	high	2	2	big	high	FALSE
low	high	2	4	small	low	FALSE
low	high	2	4	small	med	TRUE
