word.freq.make	word.freq.address	word.freq.all	word.freq.3d	word.freq.our	word.freq.over	word.freq.remove	word.freq.internet	word.freq.order	word.freq.mail	word.freq.receive	word.freq.will	word.freq.people	word.freq.report	word.freq.addresses	word.freq.free	word.freq.business	word.freq.email	word.freq.you	word.freq.credit	word.freq.your	word.freq.font	word.freq.000	word.freq.money	word.freq.hp	word.freq.hpl	word.freq.george	word.freq.650	word.freq.lab	word.freq.labs	word.freq.telnet	word.freq.857	word.freq.data	word.freq.415	word.freq.85	word.freq.technology	word.freq.1999	word.freq.parts	word.freq.pm	word.freq.direct	word.freq.cs	word.freq.meeting	word.freq.original	word.freq.project	word.freq.re	word.freq.edu	word.freq.table	word.freq.conference	char.freq.semi	char.freq.lparen	char.freq.lbrack	char.freq.bang	char.freq.dollar	char.freq.hash	capital.run.length.average	capital.run.length.longest	capital.run.length.total	spam	rgroup
0	0.34	0	0	0.68	0	0.68	0	0	0.34	0.34	0	0	0	0	0.34	0	1.36	3.42	0	2.73	0	0	0	0.34	0.34	0	0	0	0	0	0	0.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0.048	0	1.411	15	96	spam	93
0.12	0.24	0.12	0	1.32	0.36	0	0.36	0	0	0.36	0.72	0	0	0	0	0	0	4.1	0	3.01	0	0.12	0	0	0	0	0	0	0	0	0	0.12	0	0	0	0.12	0	0	0.12	0	0	0	0	0	0	0	0	0	0.059	0	0.019	0.019	0	1.714	34	180	spam	11
0.66	0	0.66	0	0	0	0	0	0	0.66	0	0	0	0	0	1.98	1.32	0	1.32	0	1.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.205	0	0	3.184	34	121	spam	45
0	0.48	0.48	0	1.46	0	0.48	0	0	0.97	0.48	0	0	0	0	0.48	0	0	0.97	0.48	1.95	0	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	1.46	0	0	0.48	0	0	0	0	0	0	0	0	0	0.073	0	0.589	0.294	0	4.85	47	194	spam	32
0	0	0	0	0	0	1.47	0	0	1.47	0	1.47	0	0	0	0	0	0	5.88	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.214	3	17	spam	99
0.3	0	0.61	0	0	0	0	0	0	0.92	0.3	0.92	0.3	0.3	0	2.15	0.61	0	5.53	0	1.23	0	0	0.3	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0.1	0	1.053	0.351	0.25	3.884	66	303	spam	61
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96	0	0	0	0	0	0	0	0	0	0	0	0	0	1.96	0	0	0	0	0	0	0	0	0	0	0	0	0.201	0	0	0.1	0	4.548	59	141	spam	99
0	0	0	0	1.26	0	2.53	1.26	1.26	1.26	1.26	1.26	0	0	0	0	5.06	0	2.53	1.26	3.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537	0	0	72.5	287	290	spam	62
0	0.53	0.53	0	0.53	0	0	0	0	0	0	0.53	0	0	0	0.53	0	1.06	1.6	0	1.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.087	0	0.877	0	0	3.4	61	187	spam	35
0	0.44	0.89	0	0.44	0	0	0	0	0	0	0.44	0	0	0	0.44	0	0.89	2.24	0	1.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0.073	0	0.807	0	0	3.849	121	281	spam	21
0	0.46	0.46	0	0.46	0.46	0.46	0	0	0	0.46	0.46	0	0	0	0.92	0	0.92	2.76	0	1.38	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46	0	0	0	0	0.46	0	0	0	0	0	0	0.298	0.223	0	2.156	13	110	spam	43
0	0	0.48	0	1.44	0	0.48	0	0	0	0	0.96	0	0	0	0.48	0.96	0	2.41	0	2.41	0	0.48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48	0	0	0	0	0.081	0	0.486	0.243	0	5.13	78	236	spam	43
0	0.94	0.94	0	0	0	0	0	0	0.94	0	0	0	0	0	2.83	0	0	0.94	0	0.94	0	1.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.366	0	0	26.5	245	318	spam	65
0	0	1.77	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0.59	4.14	0	1.18	0	0	0	0	0	0	0	0	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.165	0	0.165	0.082	0	2.325	16	100	spam	83
0.75	0.18	0.37	0	0.18	0.12	0	0.25	0.75	0.31	0.25	1.51	0.31	0.37	0	0.37	0.44	0.12	2.96	0.69	1.26	0	0.44	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0	0	0.12	0	0	0.06	0	0	0	0	0	0	0.085	0.053	0.437	0.234	0.064	3.675	45	1066	spam	88
0	0.41	0.2	0	1.67	0.2	0.2	0	0	1.04	0.2	0	0.2	0	0	0.83	0.2	0	2.09	0	0.62	0	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41	0.62	0	0.2	0	0	0	0.132	0	0	1.65	15	175	spam	48
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.26	5.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338	0	1.666	5	10	spam	65
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.55	0	1.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.431	0	0	4.071	29	114	spam	73
0	0	0.23	0	0	0	0.23	0	0	0.95	0	0.47	0	0.23	0	0.23	0.95	0	2.38	0	1.9	0	0	0.47	0	0	0	0	0	0	0	0	0	0	0	0.23	0.23	0	0	0	0	0	0	0	0	0	0	0	0	0.123	0	0.197	0	0.024	5.038	280	519	spam	33
0	0.72	0.72	0	0	0	0	1.45	0	0	0.72	0	0	0	0	2.91	0	0.72	1.45	0	0	0	0.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123	0	0.495	0	0	1.525	8	61	spam	78
0	0	1.28	0	1.28	1.28	0	0	0	0	0	0	0	0	0	1.28	0	0	2.56	0	1.28	0	1.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181	0	0.724	0	0	3.071	9	43	spam	62
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.278	0	0.834	0	0	5.13	27	118	spam	88
0	0.46	0.46	0	1.4	0	0.46	1.86	0	0.93	0.46	0	0	0	0	1.86	0	0	0.93	0.46	1.4	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0.46	0	0	0	0	0	0	0	0	0	0.071	0	0.571	0.214	0	4.63	64	213	spam	64
0	0	0.38	0	1.15	0.76	0	0	0	0	0	0.38	0.38	0	0	0.38	0	0.38	2.69	0	2.3	0	0	0.38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122	0	0.061	0.061	0	1.775	20	158	spam	82
0	0.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79	1.58	1.58	3.96	0	1.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79	0	0	0	0	0.268	0	0.268	0	0	2.815	26	107	spam	51
0.06	0.06	0.47	0	0.4	0	0	0	0.67	0.06	0	0.33	0.13	0	0	0.2	0	0	1.14	0.13	1.21	0	0	0.06	0	0	0	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0.06	0	0	0	0.021	0.107	0	0.096	0.085	0.01	3.353	144	845	spam	27
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.153	0	0	0	0	3.8	23	38	spam	9
0	0.56	1.12	0	2.24	0	1.12	0	0	0	0	0.56	0.56	0	0	0.56	2.8	0	3.93	0	1.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25	0	1.083	0.333	0	4.974	140	194	spam	31
