"Position"	"Len"	"Field"	"Description"	"Flag Position"	"Rev*"	"Values"	"Definition"
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"Blank"	""
"143"	"1"	"MRACEREC"	"Mother's Race Recode"	""	"U,R"	""	""
""	""	""	"Includes individuals reporting only one race and"	""	""	""	""
""	""	""	"individuals reporting more than one race bridged"	""	""	""	""
""	""	""	"to a single race."	""	""	""	""
""	""	""	"United States and all Outlying Areas of"	""	""	"1"	""
""	""	""	"the United States except Puerto Rico"	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	"Puerto Rico"	""	""	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"0"	""
"144"	"1"	"MRACEIMP"	"Mother's Race Imputed Flag"	""	"U,R"	"Blank"	""
""	""	""	""	""	""	"1"	""
""	""	""	""	""	""	"2"	""
"145-147"	"3"	"FILLER"	"Filler"	""	""	"Blank"	""
"148"	"1"	"UMHISP"	"Mother's Hispanic Origin"	""	""	""	""
""	""	""	""	"569"	"U,R"	"0"	""
""	""	""	""	""	""	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"9"	""
"149"	"1"	"MRACEHISP"	"Mother's Race/Hispanic Origin"	""	""	""	""
""	""	""	""	"569"	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"7"	""
""	""	""	""	""	""	"8"	""
""	""	""	""	""	""	"9"	""
"150-152"	"3"	"FILLER"	"Filler"	""	""	"Blank"	""
"153"	"1"	"MAR"	"Mother's Marital Status"	""	"U,R"	""	""
""	""	""	"United States and all Outlying Areas of"	""	""	"1"	""
""	""	""	"the United States except Puerto Rico"	""	""	"2"	""
""	""	""	""	""	""	"9"	""
""	""	""	"Puerto Rico"	""	""	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"9"	""
"154"	"1"	"MAR_IMP"	"Mother's Marital Status Imputed Flag"	""	"U,R"	"Blank"	""
""	""	""	""	""	""	"1"	""
"155"	"1"	"MEDUC"	"Mother's Education"	"571"	"R"	"th"	"grade or less"
""	""	""	""	""	""	"th"	"through 12th grade with no diploma"
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"7"	""
""	""	""	""	""	""	"8"	""
""	""	""	""	""	""	""	"DVM, LLB, JD)"
""	""	""	""	""	""	"9"	""
""	""	""	""	""	""	"Blank"	""
"156-157"	"2"	"DMEDUC"	"Mother's Education"	"647"	"U"	"00"	""
""	""	""	""	""	""	"01-08"	""
""	""	""	""	""	""	"09"	""
""	""	""	""	""	""	"10"	""
""	""	""	""	""	""	"11"	""
""	""	""	""	""	""	"12"	""
""	""	""	""	""	""	"13"	""
""	""	""	""	""	""	"14"	""
""	""	""	""	""	""	"15"	""
""	""	""	""	""	""	"16"	""
""	""	""	""	""	""	"17"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"158"	"1"	"MEDUC_REC"	"Mother's Education Recode"	""	""	""	""
""	""	""	""	"647"	"U"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"Blank"	""
"159-174"	"16"	"FILLER"	"Filler"	""	""	"Blank"	""
"175"	"1"	"FAGERPT_FLG"	"Father's Reported Age Used"	""	"U,R"	"Blank"	""
""	""	""	""	""	""	"1"	""
"176-181"	"6"	"FILLER"	"Filler"	""	""	"Blank"	""
"182-183"	"2"	"FAGECOMB"	"Father's Combined Age (Revised)"	""	"R"	"09-98"	""
""	""	""	""	"571"	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"184-185"	"2"	"UFAGECOMB"	"Father's Combined Age"	""	"U,R"	"10-98"	""
""	""	""	""	"647"	""	"99"	""
"186-187"	"2"	"FAGEREC11"	"Father's Age Recode 11"	""	"U,R"	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	""	""	""	"10"	""
""	""	""	""	""	""	"11"	""
"188-189"	"2"	"FBRACE"	"Father's Bridged Race"	""	"R**"	"01"	""
""	""	""	"Includes only states reporting multiple race. Codes"	""	""	"02"	""
""	""	""	"01-14 used for individuals reporting only one race."	""	""	"03"	""
""	""	""	"Codes 21-24 used for individuals reporting more than"	""	""	"04"	""
""	""	""	"one race that have been bridged to a single race."	""	""	"05"	""
""	""	""	"Code 24 also used for individuals reporting"	""	""	"06"	""
""	""	""	"more than one Asian/Pacific Islander group;"	""	""	"07"	""
""	""	""	"see 'Technical Appendix.'"	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	"** Also includes unrevised states that report multiple"	""	""	"10"	""
""	""	""	"race."	""	""	"11"	""
""	""	""	""	""	""	"12"	""
""	""	""	""	""	""	"13"	""
""	""	""	""	""	""	"14"	""
""	""	""	""	""	""	"21"	""
""	""	""	""	""	""	"22"	""
""	""	""	""	""	""	"23"	""
""	""	""	""	""	""	"24"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	""	"multiple race."
""	""	""	""	""	""	"Blank"	""
"190"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"191"	"1"	"FRACEREC"	"Father's Race Recode"	""	"U,R"	""	""
""	""	""	"Includes individuals reporting only one race and"	""	""	""	""
""	""	""	"individuals reporting more than one race bridged"	""	""	""	""
""	""	""	"to a single race."	""	""	""	""
""	""	""	"United States and all Outlying Areas of"	""	""	"1"	""
""	""	""	"the United States except Puerto Rico"	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"9"	""
""	""	""	"Puerto Rico"	""	""	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"9"	""
""	""	""	""	""	""	"0"	""
"192-194"	"3"	"FILLER"	"Filler"	""	""	"Blank"	""
"195"	"1"	"UFHISP"	"Father's Hispanic Origin"	""	""	""	""
""	""	""	""	"570"	"U,R"	"0"	""
""	""	""	""	""	""	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"9"	""
"196"	"1"	"FRACEHISP"	"Father's Race/Hisp Origin"	""	""	""	""
""	""	""	""	"570"	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"7"	""
""	""	""	""	""	""	"8"	""
""	""	""	""	""	""	"9"	""
"197-198"	"2"	"FILLER"	"Filler"	""	""	"Blank"	""
"199-200"	"2"	"FRACE"	"Father's Race"	""	"U"	""	""
""	""	""	"United States"	""	""	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"18"	""
""	""	""	""	""	""	"28"	""
""	""	""	""	""	""	"38"	""
""	""	""	""	""	""	"48"	""
""	""	""	""	""	""	"58"	""
""	""	""	""	""	""	"68"	""
""	""	""	""	""	""	""	"codes 18-58."
""	""	""	""	""	""	"78"	""
""	""	""	""	""	""	""	"for areas that do not report them separately."
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
""	""	""	"Puerto Rico"	""	""	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"00"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
""	""	""	"Guam"	""	""	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"58"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
""	""	""	"All other Outlying Areas of the United States"	""	""	"01"	""
""	""	""	""	""	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"201-211"	"11"	"FILLER"	"Filler"	""	""	"Blank"	""
"212"	"1"	"LBO_REC"	"Live Birth Order Recode"	""	"U,R"	"1-7"	""
""	""	""	""	""	""	"8"	""
""	""	""	""	""	""	"9"	""
"213-216"	"4"	"FILLER"	"Filler"	""	""	"Blank"	""
"217"	"1"	"TBO_REC"	"Total Birth Order Recode"	""	"U,R"	"1-7"	""
""	""	""	""	""	""	"8"	""
""	""	""	""	""	""	"9"	""
"218-244"	"27"	"FILLER"	"Filler"	""	""	"Blank"	""
"245-246"	"2"	"PRECARE"	"Month Prenatal Care Began"	""	""	""	""
""	""	""	""	"668"	"R"	"00"	""
""	""	""	""	""	""	"01-10"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"247"	"1"	"PRECARE_REC"	"Moth Prenatal Care Began Recode"	""	""	""	""
""	""	""	""	"668"	"R"	"st"	"to 3rd month"
""	""	""	""	""	""	"th"	"to 6th month"
""	""	""	""	""	""	"th"	"to final month"
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"Blank"	""
"248-255"	"8"	"FILLER"	"Filler"	""	""	"Blank"	""
"256-257"	"2"	"MPCB"	"Month Prenatal Care Began"	""	""	""	""
""	""	""	""	"669"	"U"	"00"	""
""	""	""	""	""	""	"01-10"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"258"	"1"	"MPCB_REC6"	"Month Prenatal Care Began Recode 6"	""	""	""	""
""	""	""	""	"669"	"U"	"st"	"to 2nd month"
""	""	""	""	""	""	"rd"	"month"
""	""	""	""	""	""	"th"	"to 6th month"
""	""	""	""	""	""	"th"	"to final month"
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"Blank"	""
"259"	"1"	"MPCB_REC5"	"Month Prenatal Care Began Recode 5"	""	""	""	""
""	""	""	""	"669"	"U"	"st"	"trimester (1st to 3rd month)"
""	""	""	""	""	""	"nd"	"trimester (4th to 6th month)"
""	""	""	""	""	""	"rd"	"trimester (7th to final month)"
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"Blank"	""
"260-269"	"10"	"FILLER"	"Filler"	""	""	"Blank"	""
"270-271"	"2"	"UPREVIS"	"Number of Prenatal Visits"	""	"U,R"	"00-49"	""
""	""	""	""	"671"	""	"99"	""
"272-273"	"2"	"PREVIS_REC"	"Number of Prenatal Visits Recode"	""	"U,R"	"01"	""
""	""	""	""	"671"	""	"02"	""
""	""	""	""	""	""	"03"	""
""	""	""	""	""	""	"04"	""
""	""	""	""	""	""	"05"	""
""	""	""	""	""	""	"06"	""
""	""	""	""	""	""	"07"	""
""	""	""	""	""	""	"08"	""
""	""	""	""	""	""	"09"	""
""	""	""	""	""	""	"10"	""
""	""	""	""	""	""	"11"	""
""	""	""	""	""	""	"12"	""
"274-275"	"2"	"FILLER"	"Filler"	""	""	"Blank"	""
"276-277"	"2"	"WTGAIN"	"Weight Gain"	"648"	"U,R"	"00-97"	""
""	""	""	""	""	""	"98"	""
""	""	""	""	""	""	"99"	""
"278"	"1"	"WTGAIN_REC"	"Weight Gain Recode"	"648"	"U,R"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"9"	""
"279"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"280"	"1"	"DFPC_IMP"	"Day of Date First Prenatal Care Imputed"	""	"R"	"Blank"	""
""	""	""	""	""	""	"1"	""
"281-283"	"3"	"FILLER"	"Filler"	""	""	"Blank"	""
"284-285"	"2"	"CIG_1"	"st Trimester"	"575"	"R"	"00-97"	""
""	""	""	""	""	""	"98"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"286-287"	"2"	"CIG_2"	"nd Trimester"	"575"	"R"	"00-97"	""
""	""	""	""	""	""	"98"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"288-289"	"2"	"CIG_3"	"rd Trimester"	"575"	"R"	"00-97"	""
""	""	""	""	""	""	"98"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"290"	"1"	"TOBUSE"	"Tobacco Use"	"667"	"U"	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"9"	""
""	""	""	""	""	""	"Blank"	""
"291-292"	"2"	"CIGS"	"Cigarettes per Day"	""	"U"	"00-97"	""
""	""	""	""	""	""	"98"	""
""	""	""	""	""	""	"99"	""
""	""	""	""	""	""	"Blank"	""
"293"	"1"	"CIG_REC6"	"Cigarette Recode"	""	"U"	"0"	""
""	""	""	""	""	""	"1"	""
""	""	""	""	""	""	"2"	""
""	""	""	""	""	""	"3"	""
""	""	""	""	""	""	"4"	""
""	""	""	""	""	""	"5"	""
""	""	""	""	""	""	"6"	""
""	""	""	""	""	""	"Blank"	""
"294"	"1"	"CIG_REC"	"Cigarette Recode"	"575"	"R"	"Y"	""
""	""	""	""	""	""	"N"	""
""	""	""	""	""	""	"U"	""
""	""	""	""	""	""	"Blank"	""
"295-304"	"10"	"FILLER"	"Filler"	""	""	"Blank"	""
"305-307"	"3"	"PWGT"	"Prepregnancy Weight"	"577"	"R"	"074"	""
""	""	""	""	""	""	"075-374"	"75 ? 374 pounds"
""	""	""	""	""	""	"375"	""
""	""	""	""	""	""	"999"	""
"308"	"1"	"FILLER"	"Filler"	""	""	"Blank"	""
"309-311"	"3"	"DWGT"	"Maternal Delivery Weight 578"	""	"R"	"099"	""
""	""	""	""	""	""	"100-399"	"100 ? 399 pounds"
""	""	""	""	""	""	"400"	""
""	""	""	""	""	""	"999"	""
