custid	sex	is.employed	income	marital.stat	health.ins	housing.type	recent.move	num.vehicles	age	state.of.res
53759	F	NA	0	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	34	Ohio
54177	M	FALSE	51500	Married	TRUE	Homeowner free and clear	FALSE	2	86	New York
55873	F	NA	25400	Never Married	TRUE	Rented	FALSE	1	60	New York
55992	F	NA	0	Married	TRUE	Rented	FALSE	1	38	Colorado
56040	F	NA	0	Married	TRUE	Rented	TRUE	2	39	California
62999	M	TRUE	91000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	51	New York
65004	F	TRUE	150000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	4	49	Florida
66778	M	TRUE	19000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	40	Virginia
67776	M	TRUE	52000	Married	TRUE	Homeowner with mortgage/loan	FALSE	1	38	Florida
68013	M	NA	100	Divorced/Separated	FALSE	NA	NA	NA	28	California
68221	M	TRUE	78000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	29	California
69062	M	TRUE	120300	Married	TRUE	Homeowner free and clear	FALSE	4	59	California
72741	F	NA	42500	Widowed	TRUE	Homeowner free and clear	FALSE	0	88	Michigan
74447	M	TRUE	162000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	33	Maryland
76182	F	TRUE	18200	Divorced/Separated	FALSE	Homeowner with mortgage/loan	FALSE	1	41	Connecticut
77312	M	TRUE	37200	Married	FALSE	Homeowner free and clear	FALSE	2	35	Mississippi
78476	M	TRUE	76000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	60	Illinois
79069	M	TRUE	30000	Married	FALSE	Rented	TRUE	1	40	Texas
80274	M	NA	37300	Married	TRUE	Homeowner free and clear	FALSE	5	68	New Jersey
80549	M	NA	85200	Married	TRUE	Homeowner free and clear	FALSE	2	75	Arkansas
82503	M	TRUE	70000	Married	TRUE	Homeowner free and clear	FALSE	2	69	California
84636	M	TRUE	33600	Married	FALSE	Rented	FALSE	2	32	South Carolina
84879	F	TRUE	29800	Married	TRUE	Homeowner free and clear	FALSE	2	42	Missouri
85398	F	TRUE	21600	Never Married	FALSE	Homeowner with mortgage/loan	FALSE	6	44	California
86711	M	NA	47950	Never Married	TRUE	Homeowner free and clear	FALSE	1	76	California
86786	F	TRUE	39600	Never Married	TRUE	Rented	FALSE	1	49	New Jersey
90303	M	NA	0	Never Married	FALSE	NA	NA	NA	45	Kentucky
90863	M	TRUE	285020	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	37	Washington
92706	M	NA	9100	Never Married	TRUE	Rented	FALSE	0	82	Rhode Island
94743	M	TRUE	299000	Married	TRUE	Homeowner free and clear	FALSE	2	64	Missouri
96964	M	TRUE	266200	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	69	Texas
97247	F	NA	70500	Widowed	TRUE	Homeowner with mortgage/loan	FALSE	1	78	Idaho
98086	M	NA	52100	Married	TRUE	Homeowner with mortgage/loan	TRUE	2	69	Florida
99068	F	TRUE	38800	Never Married	TRUE	Rented	FALSE	3	34	New York
100475	F	TRUE	28800	Divorced/Separated	TRUE	Rented	FALSE	1	48	Pennsylvania
102269	M	NA	14400	Married	TRUE	Rented	TRUE	1	84	Washington
103389	F	TRUE	130000	Never Married	TRUE	Rented	TRUE	1	41	Minnesota
104048	F	TRUE	15500	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	69	Ohio
104506	M	NA	30800	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	83	Alaska
106395	M	TRUE	25700	Married	TRUE	Rented	TRUE	1	32	California
106726	M	TRUE	39000	Married	TRUE	Rented	FALSE	1	53	South Dakota
106956	F	TRUE	150600	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	2	50	Oklahoma
107458	M	TRUE	182500	Married	TRUE	Homeowner with mortgage/loan	TRUE	2	66	Florida
108042	F	FALSE	6200	Never Married	TRUE	Rented	FALSE	1	22	Tennessee
110024	F	NA	18960	Widowed	TRUE	Homeowner free and clear	FALSE	2	83	California
110699	M	TRUE	60000	Never Married	TRUE	Homeowner free and clear	FALSE	1	53	Iowa
111870	M	TRUE	26000	Married	FALSE	Homeowner with mortgage/loan	FALSE	1	54	Maryland
112116	M	TRUE	221000	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	65	Minnesota
113390	M	TRUE	25000	Never Married	FALSE	Rented	FALSE	3	43	Virginia
114806	F	TRUE	50000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	2	53	Ohio
115100	M	NA	0	Never Married	FALSE	NA	NA	NA	29	California
116171	F	NA	51500	Widowed	TRUE	Homeowner free and clear	FALSE	1	81	Kansas
116481	F	NA	15900	Divorced/Separated	TRUE	Homeowner free and clear	FALSE	2	88	Oregon
117491	M	TRUE	110000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	58	New Jersey
117900	M	TRUE	60000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	40	Massachusetts
117911	M	TRUE	29500	Widowed	TRUE	Rented	FALSE	2	67	Virginia
118561	F	NA	9600	Widowed	TRUE	Rented	FALSE	1	60	Texas
120705	M	TRUE	21400	Never Married	TRUE	Rented	TRUE	0	30	Tennessee
122231	M	TRUE	100000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	2	48	Arkansas
124968	F	TRUE	100000	Never Married	TRUE	Homeowner free and clear	FALSE	1	56	Ohio
125155	M	TRUE	18000	Married	FALSE	Rented	TRUE	1	55	Missouri
126507	M	TRUE	112000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	51	Florida
127965	M	TRUE	90000	Divorced/Separated	TRUE	Homeowner free and clear	FALSE	1	50	Ohio
131301	M	TRUE	16800	Married	FALSE	Rented	FALSE	2	48	Connecticut
133268	M	TRUE	140000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	49	Wisconsin
136206	F	NA	3700	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	56	Alabama
138865	M	TRUE	10000	Divorced/Separated	FALSE	Rented	FALSE	1	28	New York
139771	M	TRUE	9600	Married	TRUE	Rented	FALSE	2	42	California
141492	F	NA	0	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	34	Florida
145172	M	NA	241000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	1	83	New Jersey
146457	M	TRUE	49000	Never Married	TRUE	Rented	FALSE	2	35	New Jersey
147984	F	NA	0	Married	TRUE	Rented	FALSE	1	49	Florida
149429	M	TRUE	90000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	2	41	California
149480	F	NA	0	Married	FALSE	Homeowner free and clear	FALSE	2	46	New York
150055	F	TRUE	78000	Married	TRUE	Rented	FALSE	2	24	Virginia
150721	M	TRUE	402000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	44	California
151170	F	TRUE	9000	Divorced/Separated	TRUE	Rented	FALSE	2	57	Indiana
151678	M	NA	0	Never Married	FALSE	NA	NA	NA	34	Georgia
151876	F	NA	18900	Divorced/Separated	TRUE	Rented	FALSE	1	86	Illinois
153419	M	NA	61400	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	73	Arizona
155762	M	TRUE	60000	Divorced/Separated	FALSE	Homeowner free and clear	FALSE	2	49	Illinois
156520	M	TRUE	75000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	40	Illinois
158530	M	NA	1400	Married	TRUE	Homeowner with mortgage/loan	FALSE	1	83	Texas
159107	M	NA	40000	Widowed	TRUE	Homeowner with mortgage/loan	FALSE	1	65	New Jersey
159573	F	NA	14400	Widowed	TRUE	Homeowner free and clear	FALSE	1	69	Kentucky
164576	F	NA	0	Never Married	FALSE	Rented	FALSE	1	28	Texas
166246	F	TRUE	19200	Never Married	TRUE	Rented	FALSE	1	30	New York
167154	M	NA	0	Never Married	FALSE	NA	NA	NA	31	New Jersey
167498	M	FALSE	45000	Married	TRUE	Homeowner with mortgage/loan	FALSE	1	32	Florida
169519	F	TRUE	30600	Divorced/Separated	TRUE	Rented	FALSE	1	62	Virginia
173493	M	FALSE	77000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	56	Texas
174248	M	NA	29300	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	68	Indiana
175033	M	NA	269000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	47	New York
175572	F	FALSE	0	Married	FALSE	Rented	TRUE	2	38	West Virginia
177122	F	TRUE	2000	Married	TRUE	Homeowner with mortgage/loan	FALSE	1	39	Missouri
177145	M	TRUE	60000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	46	California
178178	F	TRUE	54000	Never Married	TRUE	Rented	FALSE	1	35	New York
178887	F	NA	0	Married	FALSE	Rented	FALSE	0	44	Illinois
179481	F	TRUE	2000	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	53	Texas
180009	M	FALSE	35000	Divorced/Separated	TRUE	Rented	TRUE	1	31	California
181385	F	NA	290	Married	FALSE	Homeowner free and clear	FALSE	2	28	Wisconsin
181754	M	TRUE	34200	Married	TRUE	Rented	FALSE	4	49	Massachusetts
182072	F	NA	0	Widowed	FALSE	Rented	FALSE	1	45	Georgia
182146	F	FALSE	40000	Never Married	FALSE	Rented	FALSE	1	35	Colorado
183889	M	TRUE	32000	Married	TRUE	Homeowner with mortgage/loan	FALSE	1	67	Ohio
184170	M	NA	68800	Married	TRUE	Homeowner free and clear	FALSE	3	70	Oregon
184506	M	TRUE	40000	Divorced/Separated	FALSE	Rented	TRUE	2	39	Michigan
184686	F	TRUE	69000	Divorced/Separated	TRUE	Homeowner free and clear	FALSE	2	59	Virginia
186475	M	TRUE	27000	Never Married	TRUE	Rented	FALSE	2	29	South Carolina
186808	F	NA	33600	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	4	61	Alaska
191018	F	NA	13200	Married	TRUE	Homeowner free and clear	FALSE	4	64	Indiana
191536	F	NA	19000	Widowed	TRUE	Rented	FALSE	0	82	Oklahoma
194740	F	FALSE	50000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	53	Iowa
195539	M	NA	65700	Married	TRUE	Rented	FALSE	2	69	Florida
196613	F	TRUE	77800	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	1	45	Washington
196828	M	TRUE	24800	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	65	Florida
199788	M	FALSE	43500	Never Married	FALSE	Homeowner free and clear	TRUE	2	37	Louisiana
203816	F	NA	0	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	57	Michigan
204591	F	TRUE	47500	Divorced/Separated	TRUE	Rented	FALSE	3	49	Texas
206122	M	TRUE	127000	Married	TRUE	Rented	FALSE	2	47	Michigan
209604	M	TRUE	87000	Married	TRUE	Homeowner free and clear	FALSE	4	54	Pennsylvania
210241	F	TRUE	10000	Never Married	FALSE	Rented	FALSE	1	29	California
210427	M	NA	12600	Married	TRUE	Homeowner free and clear	FALSE	3	78	Colorado
211330	F	NA	12200	Divorced/Separated	TRUE	Homeowner free and clear	FALSE	1	78	Massachusetts
211424	M	TRUE	110000	Divorced/Separated	TRUE	Rented	FALSE	1	50	New York
213854	M	NA	4000	Never Married	TRUE	Rented	FALSE	0	22	Vermont
214083	M	NA	54540	Married	TRUE	Homeowner free and clear	FALSE	1	73	West Virginia
215876	F	NA	53600	Widowed	TRUE	Rented	FALSE	0	88	Texas
217315	M	TRUE	110000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	47	Rhode Island
218283	F	NA	20000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	37	New York
220135	M	TRUE	75000	Divorced/Separated	TRUE	Rented	TRUE	2	64	California
220142	F	NA	0	Never Married	TRUE	NA	NA	NA	18	Arkansas
220205	M	TRUE	96000	Never Married	TRUE	Rented	FALSE	1	38	New Jersey
223271	M	FALSE	54000	Married	TRUE	Rented	TRUE	3	37	California
223773	F	NA	10200	Widowed	TRUE	Rented	TRUE	1	74	Michigan
224356	M	TRUE	60000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	60	Virginia
226840	M	TRUE	70050	Married	TRUE	Homeowner with mortgage/loan	TRUE	3	36	New Hampshire
227318	M	NA	30000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	69	Connecticut
228513	F	TRUE	412000	Widowed	TRUE	Homeowner free and clear	FALSE	3	47	Maine
236067	M	TRUE	140000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	1	46	Colorado
236880	F	TRUE	6000	Never Married	TRUE	Rented	FALSE	1	39	Michigan
237048	M	FALSE	25000	Married	TRUE	Homeowner free and clear	FALSE	3	72	Tennessee
249492	F	NA	10100	Widowed	TRUE	NA	NA	NA	93	Georgia
250108	F	TRUE	90000	Divorced/Separated	TRUE	Rented	FALSE	2	31	Illinois
251365	F	TRUE	58000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	1	64	Hawaii
252100	M	TRUE	273000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	2	52	Virginia
253015	M	TRUE	30000	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	35	California
254969	F	TRUE	42200	Divorced/Separated	FALSE	Rented	FALSE	1	57	Indiana
258722	F	NA	2680	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	45	Tennessee
258948	F	NA	10820	Widowed	TRUE	Rented	FALSE	1	85	Kentucky
259807	M	NA	440	Married	TRUE	NA	NA	NA	49	West Virginia
262234	M	NA	16000	Married	TRUE	Homeowner free and clear	FALSE	3	65	Georgia
264292	M	TRUE	90000	Married	TRUE	Homeowner with mortgage/loan	FALSE	0	50	Illinois
265299	M	NA	65500	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	69	Virginia
268667	M	NA	200	Never Married	TRUE	NA	NA	NA	31	Pennsylvania
269836	F	NA	22400	Widowed	TRUE	Homeowner with mortgage/loan	FALSE	1	77	Ohio
272748	M	TRUE	60000	Never Married	TRUE	Rented	FALSE	3	44	Texas
274182	M	TRUE	80000	Married	FALSE	Homeowner with mortgage/loan	FALSE	2	36	Utah
276306	M	FALSE	31200	Married	TRUE	Rented	FALSE	1	29	California
277784	F	NA	15800	Divorced/Separated	TRUE	Rented	FALSE	1	76	New York
278995	F	TRUE	37000	Married	TRUE	Rented	TRUE	2	38	Texas
279538	F	TRUE	62400	Never Married	TRUE	Rented	TRUE	1	42	Indiana
281529	F	NA	0	Divorced/Separated	FALSE	Homeowner free and clear	FALSE	3	41	Tennessee
283521	F	TRUE	172000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	55	Wisconsin
283607	M	TRUE	20000	Married	TRUE	Rented	TRUE	2	41	Tennessee
284973	F	FALSE	19000	Divorced/Separated	TRUE	Rented	FALSE	2	30	Illinois
287882	M	TRUE	60000	Married	TRUE	Rented	TRUE	2	137.70002958132	Florida
291564	F	NA	28100	Widowed	TRUE	Homeowner free and clear	FALSE	1	75	New York
291599	M	TRUE	45000	Married	TRUE	Rented	FALSE	2	27	California
291608	F	NA	24700	Widowed	TRUE	Homeowner free and clear	FALSE	1	79	Georgia
297117	M	TRUE	130000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	63	Louisiana
298205	M	TRUE	110450	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	38	Maryland
298782	M	NA	11200	Widowed	TRUE	NA	NA	NA	73	Wisconsin
303624	M	TRUE	100000	Married	TRUE	Homeowner with mortgage/loan	FALSE	1	41	California
304200	F	FALSE	0	Divorced/Separated	FALSE	Homeowner with mortgage/loan	FALSE	1	53	Indiana
307655	F	TRUE	31000	Married	TRUE	Rented	TRUE	3	26	California
308107	F	TRUE	1800	Never Married	FALSE	Rented	FALSE	1	54	West Virginia
310588	M	TRUE	110000	Never Married	TRUE	Rented	FALSE	0	40	Florida
311095	F	TRUE	42000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	2	51	Kentucky
314099	F	NA	0	Widowed	FALSE	Rented	TRUE	2	68	Pennsylvania
315265	M	NA	34900	Married	TRUE	Homeowner free and clear	FALSE	3	82	Illinois
316205	F	FALSE	6900	Married	TRUE	Rented	FALSE	2	25	New York
316280	M	TRUE	56000	Divorced/Separated	TRUE	Rented	FALSE	1	44	Ohio
316753	M	TRUE	54000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	36	Georgia
317166	F	TRUE	86000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	3	54	New Jersey
318105	M	TRUE	42200	Divorced/Separated	TRUE	Rented	FALSE	0	54	Texas
318348	F	TRUE	40000	Divorced/Separated	FALSE	Homeowner with mortgage/loan	FALSE	4	55	Iowa
319774	M	TRUE	38000	Married	TRUE	Homeowner free and clear	FALSE	3	49	New Jersey
323508	M	TRUE	135000	Never Married	TRUE	Rented	TRUE	1	27	California
324029	F	TRUE	25000	Married	TRUE	Rented	FALSE	1	37	Georgia
330543	F	NA	3000	Married	TRUE	NA	NA	NA	93	Michigan
331868	F	NA	36600	Widowed	TRUE	Homeowner free and clear	FALSE	2	85	Ohio
332292	M	TRUE	61000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	3	28	Michigan
333355	M	FALSE	22000	Married	TRUE	Rented	TRUE	2	44	Texas
333982	F	NA	19200	Married	TRUE	Homeowner free and clear	FALSE	2	72	Washington
334135	F	TRUE	200000	Never Married	TRUE	Rented	TRUE	1	32	Texas
335080	M	TRUE	10000	Married	TRUE	Rented	TRUE	2	28	Wyoming
335174	M	NA	21000	Married	TRUE	Homeowner with mortgage/loan	FALSE	0	76	Pennsylvania
337683	F	TRUE	23100	Widowed	TRUE	Rented	FALSE	1	65	Florida
338635	F	TRUE	13200	Never Married	TRUE	Rented	TRUE	1	21	Georgia
341507	M	FALSE	25000	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	61	New Jersey
342460	M	TRUE	45000	Married	TRUE	Rented	FALSE	1	32	Virginia
343235	M	TRUE	24000	Never Married	TRUE	Rented	FALSE	1	32	Nebraska
344685	M	NA	0	Never Married	TRUE	NA	NA	NA	39	Tennessee
345994	M	TRUE	177000	Married	TRUE	Homeowner with mortgage/loan	FALSE	5	48	Illinois
348319	F	NA	0	Married	TRUE	Rented	FALSE	3	26	Indiana
349344	M	TRUE	77000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	55	Michigan
351129	F	NA	0	Never Married	TRUE	Rented	FALSE	2	51	New York
352275	F	FALSE	36000	Married	TRUE	Occupied with no rent	FALSE	3	58	Pennsylvania
354269	M	NA	22000	Never Married	FALSE	Rented	TRUE	1	29	California
356073	M	TRUE	130000	Never Married	TRUE	Rented	FALSE	1	54	Texas
356688	F	TRUE	27000	Never Married	FALSE	Rented	FALSE	1	26	Iowa
356763	M	TRUE	24000	Married	FALSE	Rented	FALSE	3	48	California
359997	F	TRUE	80050	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	39	Wisconsin
360674	M	TRUE	10001	Never Married	TRUE	Rented	FALSE	2	38	Wisconsin
361561	F	NA	3000	Divorced/Separated	TRUE	Rented	FALSE	1	26	Florida
361946	M	TRUE	90600	Married	TRUE	Homeowner free and clear	FALSE	2	68	Kentucky
361968	M	FALSE	27200	Divorced/Separated	TRUE	Rented	FALSE	1	68	New York
363008	F	NA	5400	Married	TRUE	Rented	FALSE	1	84	Illinois
364328	M	TRUE	67000	Married	TRUE	Rented	FALSE	1	30	Louisiana
364991	F	NA	12000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	1	123.061022636481	Nevada
368645	M	TRUE	83000	Married	TRUE	Homeowner free and clear	FALSE	2	52	Michigan
373976	F	TRUE	27000	Divorced/Separated	TRUE	Rented	TRUE	1	56	New York
374461	M	NA	58600	Divorced/Separated	TRUE	Rented	FALSE	1	80	Mississippi
374930	M	NA	0	Married	FALSE	NA	NA	NA	55	Maine
376508	F	NA	0	Married	FALSE	Rented	FALSE	1	42	Iowa
382338	M	NA	21400	Married	TRUE	Homeowner free and clear	FALSE	1	70	Kansas
382614	M	NA	24800	Never Married	TRUE	NA	NA	NA	55	New Jersey
382908	F	NA	30200	Widowed	TRUE	Homeowner with mortgage/loan	FALSE	2	74	Indiana
383409	M	TRUE	15000	Never Married	FALSE	Rented	FALSE	2	24	Indiana
383455	M	TRUE	124000	Never Married	TRUE	Homeowner with mortgage/loan	FALSE	4	44	Connecticut
385318	F	NA	10800	Widowed	TRUE	Rented	FALSE	0	72	New York
388567	F	NA	14600	Divorced/Separated	TRUE	Rented	FALSE	1	44	Virginia
390273	M	NA	27100	Married	TRUE	Homeowner free and clear	FALSE	2	64	Indiana
394696	F	NA	10200	Married	TRUE	Rented	FALSE	1	58	Wisconsin
394790	M	NA	69040	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	75	Tennessee
395888	M	TRUE	10800	Married	FALSE	Rented	FALSE	1	29	Pennsylvania
396116	F	NA	0	Married	TRUE	Rented	FALSE	2	25	South Carolina
396256	M	TRUE	36400	Married	FALSE	Homeowner with mortgage/loan	FALSE	3	34	Minnesota
396675	F	TRUE	60000	Never Married	TRUE	Rented	TRUE	1	45	Illinois
397230	F	TRUE	31200	Married	TRUE	Rented	FALSE	2	136.052159552928	Texas
399150	M	TRUE	50000	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	38	Florida
399930	M	TRUE	55000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	2	42	Florida
403690	M	FALSE	34020	Divorced/Separated	FALSE	Homeowner with mortgage/loan	FALSE	2	50	New York
406984	F	NA	10100	Divorced/Separated	TRUE	Rented	FALSE	1	71	North Carolina
408221	M	TRUE	134800	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	60	North Carolina
409728	M	TRUE	44600	Never Married	FALSE	Homeowner with mortgage/loan	FALSE	1	50	Illinois
411385	M	TRUE	45000	Married	TRUE	Homeowner with mortgage/loan	FALSE	3	45	Pennsylvania
415060	F	FALSE	16000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	1	60	California
415381	M	TRUE	109170	Married	TRUE	Homeowner with mortgage/loan	TRUE	2	39	New York
415575	M	NA	0	Never Married	TRUE	NA	NA	NA	63	Utah
415741	M	TRUE	65000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	3	47	New Mexico
416144	F	TRUE	82000	Divorced/Separated	TRUE	Homeowner with mortgage/loan	FALSE	2	44	Ohio
416624	F	TRUE	30000	Married	TRUE	Rented	FALSE	1	43	Texas
419751	M	TRUE	95300	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	57	Texas
419951	F	TRUE	12000	Never Married	TRUE	Rented	FALSE	2	21	Wisconsin
421248	M	TRUE	80000	Married	TRUE	Homeowner free and clear	FALSE	3	58	Nevada
421666	M	FALSE	24700	Married	TRUE	Rented	FALSE	3	54	Idaho
423279	M	TRUE	24000	Never Married	TRUE	Rented	TRUE	3	42	Michigan
423910	M	TRUE	192000	Married	TRUE	Homeowner with mortgage/loan	FALSE	4	58	Ohio
426154	F	NA	10200	Divorced/Separated	TRUE	Rented	FALSE	0	76	Indiana
427431	F	NA	7900	Divorced/Separated	TRUE	Rented	FALSE	0	45	California
427589	F	TRUE	40000	Divorced/Separated	TRUE	Rented	TRUE	1	54	California
430516	F	NA	20000	Widowed	TRUE	Homeowner free and clear	FALSE	1	81	Maine
431729	M	NA	26700	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	75	Pennsylvania
432526	F	NA	7300	Married	TRUE	Homeowner with mortgage/loan	FALSE	2	44	West Virginia
