left daughter	right daughter	split var	split point	status	prediction	nodeid	treeid
0	0	NA	0	-1	1	196	1
0	0	NA	0	-1	0	197	1
0	0	NA	0	-1	0	198	1
0	0	NA	0	-1	1	199	1
2	3	num.displays7	1994	1	NA	1	2
4	5	num.displays6	1298	1	NA	2	2
6	7	num.displays2	3102.5	1	NA	3	2
8	9	num.displays1	423.5	1	NA	4	2
10	11	avg.disc.length0	66.75	1	NA	5	2
12	13	avg.disc.length4	63.958332	1	NA	6	2
14	15	attention.level.author3	0.009904	1	NA	7	2
16	17	attention.level.author3	0.008107	1	NA	8	2
18	19	number.total.disc7	1.5	1	NA	9	2
20	21	burstiness0	0.875	1	NA	10	2
22	23	attention.level.author0	0.000623	1	NA	11	2
24	25	burstiness3	0.154762	1	NA	12	2
26	27	avg.auths.per.disc4	29	1	NA	13	2
28	29	num.displays3	17903	1	NA	14	2
30	31	contribution.sparseness6	0.0027895	1	NA	15	2
32	33	atomic.containers1	1.5	1	NA	16	2
0	0	NA	0	-1	0	17	2
34	35	avg.auths.per.disc4	36	1	NA	18	2
36	37	num.displays4	330	1	NA	19	2
38	39	auth.increase1	0.5	1	NA	20	2
40	41	atomic.containers6	36.5	1	NA	21	2
0	0	NA	0	-1	0	22	2
42	43	atomic.containers0	56	1	NA	23	2
44	45	avg.auths.per.disc7	2.1666665	1	NA	24	2
46	47	avg.auths.per.disc4	4.55	1	NA	25	2
48	49	num.displays2	2355.5	1	NA	26	2
0	0	NA	0	-1	1	27	2
50	51	num.new.disc6	9.5	1	NA	28	2
52	53	avg.auths.per.disc5	4.0454545	1	NA	29	2
54	55	auth.increase5	16	1	NA	30	2
56	57	attention.level.contrib4	0.015973	1	NA	31	2
58	59	avg.auths.per.disc7	9.25	1	NA	32	2
60	61	contribution.sparseness1	0.0089775	1	NA	33	2
62	63	num.displays7	1027	1	NA	34	2
0	0	NA	0	-1	0	35	2
0	0	NA	0	-1	1	36	2
64	65	num.new.disc2	7	1	NA	37	2
66	67	attention.level.author0	0.0010645	1	NA	38	2
68	69	auth.increase3	19.5	1	NA	39	2
70	71	num.new.disc1	1.5	1	NA	40	2
0	0	NA	0	-1	0	41	2
0	0	NA	0	-1	1	42	2
0	0	NA	0	-1	0	43	2
72	73	attention.level.contrib4	0.0010815	1	NA	44	2
74	75	atomic.containers4	33	1	NA	45	2
76	77	num.authors.topic7	13.5	1	NA	46	2
78	79	attention.level.contrib2	0.0012175	1	NA	47	2
0	0	NA	0	-1	0	48	2
0	0	NA	0	-1	1	49	2
80	81	avg.auths.per.disc6	5.757143	1	NA	50	2
0	0	NA	0	-1	0	51	2
0	0	NA	0	-1	0	52	2
82	83	attention.level.contrib5	0.006288	1	NA	53	2
0	0	NA	0	-1	1	54	2
0	0	NA	0	-1	0	55	2
84	85	burstiness0	0.345491	1	NA	56	2
86	87	attention.level.author1	0.007308	1	NA	57	2
88	89	attention.level.contrib0	0.0015935	1	NA	58	2
90	91	contribution.sparseness6	0.006329	1	NA	59	2
0	0	NA	0	-1	1	60	2
0	0	NA	0	-1	0	61	2
92	93	num.displays7	811	1	NA	62	2
94	95	avg.auths.per.disc3	4.8	1	NA	63	2
96	97	num.authors.topic2	17.5	1	NA	64	2
0	0	NA	0	-1	1	65	2
98	99	attention.level.author7	0.0008195	1	NA	66	2
100	101	atomic.containers1	11	1	NA	67	2
102	103	avg.auths.per.disc0	31.833333	1	NA	68	2
0	0	NA	0	-1	1	69	2
104	105	number.total.disc1	1.5	1	NA	70	2
0	0	NA	0	-1	0	71	2
106	107	num.displays0	1934.5	1	NA	72	2
0	0	NA	0	-1	1	73	2
108	109	attention.level.author2	0.003705	1	NA	74	2
0	0	NA	0	-1	0	75	2
110	111	atomic.containers1	1.5	1	NA	76	2
0	0	NA	0	-1	0	77	2
112	113	auth.increase2	2.5	1	NA	78	2
114	115	contribution.sparseness7	0.0240895	1	NA	79	2
116	117	contribution.sparseness6	0.0031775	1	NA	80	2
118	119	contribution.sparseness1	0.0090305	1	NA	81	2
0	0	NA	0	-1	0	82	2
0	0	NA	0	-1	1	83	2
120	121	burstiness1	0.30625	1	NA	84	2
122	123	contribution.sparseness2	0.0039625	1	NA	85	2
0	0	NA	0	-1	1	86	2
124	125	attention.level.contrib5	0.0693695	1	NA	87	2
0	0	NA	0	-1	0	88	2
0	0	NA	0	-1	0	89	2
126	127	attention.level.contrib5	3.45e-05	1	NA	90	2
0	0	NA	0	-1	0	91	2
128	129	attention.level.contrib1	0.000566	1	NA	92	2
130	131	num.displays7	814.5	1	NA	93	2
132	133	num.displays1	1380.5	1	NA	94	2
134	135	number.total.disc4	0.5	1	NA	95	2
136	137	auth.increase1	11	1	NA	96	2
0	0	NA	0	-1	1	97	2
138	139	num.displays6	1357.5	1	NA	98	2
140	141	attention.level.author7	0.0019305	1	NA	99	2
0	0	NA	0	-1	1	100	2
0	0	NA	0	-1	0	101	2
142	143	num.displays2	908	1	NA	102	2
0	0	NA	0	-1	1	103	2
0	0	NA	0	-1	0	104	2
0	0	NA	0	-1	1	105	2
144	145	avg.auths.per.disc0	2.5	1	NA	106	2
146	147	number.total.disc0	1.5	1	NA	107	2
148	149	num.displays3	1996.5	1	NA	108	2
0	0	NA	0	-1	1	109	2
150	151	num.displays2	1607.5	1	NA	110	2
152	153	attention.level.author7	0.0030945	1	NA	111	2
154	155	avg.disc.length7	3.6	1	NA	112	2
0	0	NA	0	-1	1	113	2
0	0	NA	0	-1	1	114	2
0	0	NA	0	-1	1	115	2
156	157	burstiness4	0.3666665	1	NA	116	2
158	159	atomic.containers5	50.5	1	NA	117	2
160	161	num.displays3	3315.5	1	NA	118	2
162	163	avg.disc.length0	74.375	1	NA	119	2
0	0	NA	0	-1	1	120	2
164	165	atomic.containers2	104	1	NA	121	2
0	0	NA	0	-1	1	122	2
166	167	contribution.sparseness7	0.003302	1	NA	123	2
0	0	NA	0	-1	1	124	2
0	0	NA	0	-1	1	125	2
168	169	number.total.disc7	3	1	NA	126	2
0	0	NA	0	-1	0	127	2
0	0	NA	0	-1	0	128	2
0	0	NA	0	-1	0	129	2
0	0	NA	0	-1	1	130	2
170	171	attention.level.contrib3	0.0032885	1	NA	131	2
172	173	attention.level.author0	0.000449	1	NA	132	2
0	0	NA	0	-1	1	133	2
0	0	NA	0	-1	0	134	2
174	175	attention.level.contrib6	0.000163	1	NA	135	2
176	177	contribution.sparseness1	0.002857	1	NA	136	2
0	0	NA	0	-1	1	137	2
0	0	NA	0	-1	1	138	2
178	179	attention.level.contrib4	0.001098	1	NA	139	2
180	181	atomic.containers4	17	1	NA	140	2
0	0	NA	0	-1	0	141	2
0	0	NA	0	-1	1	142	2
182	183	number.total.disc1	8	1	NA	143	2
184	185	num.displays2	1640.5	1	NA	144	2
0	0	NA	0	-1	1	145	2
186	187	contribution.sparseness2	0.001985	1	NA	146	2
0	0	NA	0	-1	0	147	2
188	189	attention.level.author0	0.0013775	1	NA	148	2
190	191	auth.increase4	0.5	1	NA	149	2
0	0	NA	0	-1	0	150	2
0	0	NA	0	-1	1	151	2
192	193	avg.disc.length3	44.25	1	NA	152	2
0	0	NA	0	-1	1	153	2
0	0	NA	0	-1	0	154	2
194	195	attention.level.contrib7	0.0030875	1	NA	155	2
196	197	atomic.containers0	41	1	NA	156	2
198	199	atomic.containers0	11.5	1	NA	157	2
0	0	NA	0	-1	1	158	2
0	0	NA	0	-1	1	159	2
0	0	NA	0	-1	1	160	2
0	0	NA	0	-1	1	161	2
0	0	NA	0	-1	1	162	2
0	0	NA	0	-1	0	163	2
0	0	NA	0	-1	1	164	2
0	0	NA	0	-1	0	165	2
0	0	NA	0	-1	1	166	2
0	0	NA	0	-1	1	167	2
0	0	NA	0	-1	0	168	2
0	0	NA	0	-1	1	169	2
0	0	NA	0	-1	0	170	2
0	0	NA	0	-1	0	171	2
0	0	NA	0	-1	0	172	2
0	0	NA	0	-1	0	173	2
0	0	NA	0	-1	0	174	2
0	0	NA	0	-1	0	175	2
0	0	NA	0	-1	0	176	2
0	0	NA	0	-1	0	177	2
0	0	NA	0	-1	0	178	2
0	0	NA	0	-1	1	179	2
0	0	NA	0	-1	0	180	2
0	0	NA	0	-1	0	181	2
0	0	NA	0	-1	0	182	2
0	0	NA	0	-1	1	183	2
0	0	NA	0	-1	1	184	2
0	0	NA	0	-1	0	185	2
0	0	NA	0	-1	1	186	2
0	0	NA	0	-1	0	187	2
0	0	NA	0	-1	1	188	2
0	0	NA	0	-1	0	189	2
0	0	NA	0	-1	1	190	2
0	0	NA	0	-1	1	191	2
0	0	NA	0	-1	0	192	2
0	0	NA	0	-1	1	193	2
0	0	NA	0	-1	1	194	2
0	0	NA	0	-1	0	195	2
0	0	NA	0	-1	1	196	2
0	0	NA	0	-1	0	197	2
0	0	NA	0	-1	1	198	2
0	0	NA	0	-1	0	199	2
2	3	number.total.disc2	2.5	1	NA	1	3
4	5	contribution.sparseness0	0.0005735	1	NA	2	3
6	7	contribution.sparseness2	0.027178	1	NA	3	3
8	9	num.displays7	2001	1	NA	4	3
10	11	attention.level.contrib2	0.000352	1	NA	5	3
12	13	auth.increase4	3.5	1	NA	6	3
14	15	num.displays0	2360	1	NA	7	3
16	17	atomic.containers4	0.5	1	NA	8	3
18	19	avg.auths.per.disc7	10.5	1	NA	9	3
20	21	num.displays3	1725	1	NA	10	3
22	23	num.displays0	1302.5	1	NA	11	3
24	25	avg.auths.per.disc4	2.9	1	NA	12	3
26	27	attention.level.author5	0.0068385	1	NA	13	3
28	29	num.displays0	661	1	NA	14	3
30	31	burstiness2	0.5505055	1	NA	15	3
32	33	num.displays6	921.5	1	NA	16	3
34	35	num.displays4	1391.5	1	NA	17	3
36	37	contribution.sparseness4	0.016009	1	NA	18	3
38	39	contribution.sparseness3	0.031635	1	NA	19	3
40	41	attention.level.author7	0.0021515	1	NA	20	3
42	43	num.displays7	2872	1	NA	21	3
44	45	atomic.containers4	43.5	1	NA	22	3
46	47	num.displays5	3262	1	NA	23	3
48	49	num.displays0	2835	1	NA	24	3
50	51	num.displays4	25216.5	1	NA	25	3
52	53	num.authors.topic3	24.5	1	NA	26	3
54	55	num.displays0	117979	1	NA	27	3
0	0	NA	0	-1	0	28	3
56	57	avg.disc.length2	21.625	1	NA	29	3
58	59	num.authors.topic4	5	1	NA	30	3
0	0	NA	0	-1	1	31	3
60	61	avg.auths.per.disc3	8.5	1	NA	32	3
62	63	attention.level.author1	0.002762	1	NA	33	3
64	65	num.displays5	629.5	1	NA	34	3
66	67	num.displays6	1517	1	NA	35	3
68	69	atomic.containers3	41	1	NA	36	3
0	0	NA	0	-1	1	37	3
70	71	attention.level.contrib6	3.2e-05	1	NA	38	3
0	0	NA	0	-1	0	39	3
72	73	attention.level.author2	0.0008725	1	NA	40	3
74	75	num.authors.topic7	27.5	1	NA	41	3
76	77	attention.level.contrib3	6.8e-05	1	NA	42	3
78	79	contribution.sparseness2	0.00147	1	NA	43	3
80	81	num.displays4	590	1	NA	44	3
0	0	NA	0	-1	0	45	3
82	83	number.total.disc1	3.5	1	NA	46	3
84	85	atomic.containers2	7.5	1	NA	47	3
86	87	avg.disc.length6	61.25	1	NA	48	3
88	89	attention.level.author2	0.003718	1	NA	49	3
90	91	num.authors.topic0	5.5	1	NA	50	3
0	0	NA	0	-1	0	51	3
92	93	avg.auths.per.disc2	3.0833335	1	NA	52	3
94	95	attention.level.author6	0.00491	1	NA	53	3
96	97	avg.auths.per.disc5	3.912879	1	NA	54	3
0	0	NA	0	-1	1	55	3
98	99	atomic.containers4	46	1	NA	56	3
100	101	auth.increase1	0.5	1	NA	57	3
0	0	NA	0	-1	1	58	3
0	0	NA	0	-1	1	59	3
102	103	auth.increase1	0.5	1	NA	60	3
104	105	num.displays2	725.5	1	NA	61	3
106	107	avg.auths.per.disc7	6.5	1	NA	62	3
0	0	NA	0	-1	1	63	3
108	109	num.displays7	1528.5	1	NA	64	3
110	111	contribution.sparseness3	0.0059375	1	NA	65	3
0	0	NA	0	-1	0	66	3
0	0	NA	0	-1	0	67	3
112	113	num.displays0	1545.5	1	NA	68	3
0	0	NA	0	-1	0	69	3
0	0	NA	0	-1	1	70	3
0	0	NA	0	-1	1	71	3
114	115	num.displays5	978.5	1	NA	72	3
116	117	atomic.containers1	20.5	1	NA	73	3
118	119	atomic.containers7	10.5	1	NA	74	3
0	0	NA	0	-1	1	75	3
0	0	NA	0	-1	1	76	3
120	121	num.displays0	3321	1	NA	77	3
122	123	attention.level.contrib6	0.0049135	1	NA	78	3
124	125	contribution.sparseness3	0.0063625	1	NA	79	3
0	0	NA	0	-1	0	80	3
126	127	attention.level.author5	0.005804	1	NA	81	3
128	129	contribution.sparseness2	0.0116965	1	NA	82	3
0	0	NA	0	-1	1	83	3
0	0	NA	0	-1	1	84	3
130	131	contribution.sparseness3	0.0098275	1	NA	85	3
132	133	num.new.disc3	4	1	NA	86	3
0	0	NA	0	-1	1	87	3
0	0	NA	0	-1	1	88	3
0	0	NA	0	-1	0	89	3
134	135	burstiness4	0.875	1	NA	90	3
136	137	avg.auths.per.disc2	3.0833335	1	NA	91	3
0	0	NA	0	-1	1	92	3
138	139	atomic.containers0	119.5	1	NA	93	3
0	0	NA	0	-1	1	94	3
0	0	NA	0	-1	0	95	3
140	141	avg.auths.per.disc4	5.21875	1	NA	96	3
142	143	avg.disc.length2	7.6477275	1	NA	97	3
0	0	NA	0	-1	0	98	3
0	0	NA	0	-1	1	99	3
0	0	NA	0	-1	0	100	3
144	145	num.displays7	3153	1	NA	101	3
146	147	num.displays4	61.5	1	NA	102	3
148	149	num.authors.topic7	0.5	1	NA	103	3
150	151	num.displays3	465	1	NA	104	3
0	0	NA	0	-1	1	105	3
152	153	num.authors.topic6	5.5	1	NA	106	3
0	0	NA	0	-1	0	107	3
0	0	NA	0	-1	0	108	3
0	0	NA	0	-1	1	109	3
154	155	atomic.containers1	13	1	NA	110	3
156	157	attention.level.contrib6	0.0032975	1	NA	111	3
0	0	NA	0	-1	1	112	3
158	159	atomic.containers6	91	1	NA	113	3
160	161	avg.auths.per.disc5	24.5	1	NA	114	3
162	163	avg.auths.per.disc6	18.625	1	NA	115	3
164	165	contribution.sparseness2	0.007798	1	NA	116	3
0	0	NA	0	-1	1	117	3
166	167	num.displays6	1003.5	1	NA	118	3
168	169	atomic.containers4	45	1	NA	119	3
170	171	attention.level.author5	0.0001815	1	NA	120	3
0	0	NA	0	-1	1	121	3
172	173	contribution.sparseness7	0.0331355	1	NA	122	3
0	0	NA	0	-1	0	123	3
174	175	avg.auths.per.disc0	3.65	1	NA	124	3
0	0	NA	0	-1	1	125	3
176	177	avg.auths.per.disc6	73.5	1	NA	126	3
0	0	NA	0	-1	1	127	3
178	179	atomic.containers6	46.5	1	NA	128	3
180	181	avg.auths.per.disc3	19.5	1	NA	129	3
182	183	auth.increase3	3.5	1	NA	130	3
0	0	NA	0	-1	1	131	3
184	185	avg.auths.per.disc3	1	1	NA	132	3
0	0	NA	0	-1	1	133	3
186	187	attention.level.contrib5	5.7e-05	1	NA	134	3
0	0	NA	0	-1	0	135	3
0	0	NA	0	-1	0	136	3
188	189	attention.level.contrib1	0.001486	1	NA	137	3
190	191	avg.disc.length3	104.666668	1	NA	138	3
0	0	NA	0	-1	0	139	3
192	193	contribution.sparseness0	0.0062435	1	NA	140	3
0	0	NA	0	-1	0	141	3
0	0	NA	0	-1	0	142	3
194	195	avg.disc.length0	75.25	1	NA	143	3
196	197	burstiness0	0.8	1	NA	144	3
0	0	NA	0	-1	1	145	3
0	0	NA	0	-1	0	146	3
198	199	attention.level.contrib6	2e-05	1	NA	147	3
0	0	NA	0	-1	0	148	3
0	0	NA	0	-1	0	149	3
0	0	NA	0	-1	0	150	3
0	0	NA	0	-1	0	151	3
0	0	NA	0	-1	0	152	3
0	0	NA	0	-1	0	153	3
0	0	NA	0	-1	0	154	3
0	0	NA	0	-1	1	155	3
0	0	NA	0	-1	0	156	3
0	0	NA	0	-1	0	157	3
0	0	NA	0	-1	0	158	3
0	0	NA	0	-1	1	159	3
0	0	NA	0	-1	0	160	3
0	0	NA	0	-1	0	161	3
0	0	NA	0	-1	0	162	3
0	0	NA	0	-1	1	163	3
0	0	NA	0	-1	0	164	3
0	0	NA	0	-1	0	165	3
0	0	NA	0	-1	0	166	3
0	0	NA	0	-1	1	167	3
0	0	NA	0	-1	0	168	3
0	0	NA	0	-1	1	169	3
0	0	NA	0	-1	0	170	3
0	0	NA	0	-1	0	171	3
0	0	NA	0	-1	1	172	3
0	0	NA	0	-1	0	173	3
0	0	NA	0	-1	0	174	3
0	0	NA	0	-1	1	175	3
0	0	NA	0	-1	0	176	3
0	0	NA	0	-1	1	177	3
0	0	NA	0	-1	1	178	3
0	0	NA	0	-1	0	179	3
0	0	NA	0	-1	0	180	3
0	0	NA	0	-1	0	181	3
0	0	NA	0	-1	1	182	3
0	0	NA	0	-1	0	183	3
0	0	NA	0	-1	0	184	3
0	0	NA	0	-1	0	185	3
0	0	NA	0	-1	0	186	3
0	0	NA	0	-1	1	187	3
0	0	NA	0	-1	1	188	3
0	0	NA	0	-1	1	189	3
0	0	NA	0	-1	1	190	3
0	0	NA	0	-1	0	191	3
0	0	NA	0	-1	1	192	3
0	0	NA	0	-1	1	193	3
0	0	NA	0	-1	1	194	3
0	0	NA	0	-1	0	195	3
0	0	NA	0	-1	0	196	3
0	0	NA	0	-1	1	197	3
0	0	NA	0	-1	0	198	3
0	0	NA	0	-1	0	199	3
2	3	num.displays6	2389.5	1	NA	1	4
4	5	num.displays3	917.5	1	NA	2	4
6	7	num.displays1	2513.5	1	NA	3	4
8	9	num.displays1	1590.5	1	NA	4	4
10	11	avg.auths.per.disc4	32.583334	1	NA	5	4
12	13	auth.increase1	5.5	1	NA	6	4
14	15	avg.auths.per.disc5	4.087121	1	NA	7	4
16	17	num.authors.topic7	24	1	NA	8	4
0	0	NA	0	-1	1	9	4
18	19	num.displays7	1775	1	NA	10	4
0	0	NA	0	-1	1	11	4
20	21	num.displays7	3321.5	1	NA	12	4
0	0	NA	0	-1	1	13	4
22	23	contribution.sparseness2	0.027197	1	NA	14	4
24	25	attention.level.contrib5	0.0100805	1	NA	15	4
26	27	num.displays1	695.5	1	NA	16	4
0	0	NA	0	-1	0	17	4
28	29	attention.level.author6	0.0019935	1	NA	18	4
30	31	attention.level.author1	0.002263	1	NA	19	4
32	33	attention.level.author4	0.0037795	1	NA	20	4
34	35	contribution.sparseness4	0.0020455	1	NA	21	4
36	37	num.displays5	38276	1	NA	22	4
0	0	NA	0	-1	0	23	4
38	39	attention.level.contrib4	0.0006255	1	NA	24	4
40	41	auth.increase0	49.5	1	NA	25	4
42	43	num.displays2	1114.5	1	NA	26	4
44	45	number.total.disc2	0.5	1	NA	27	4
46	47	contribution.sparseness3	0.069048	1	NA	28	4
48	49	num.displays3	991.5	1	NA	29	4
50	51	num.displays1	671.5	1	NA	30	4
52	53	num.displays7	5811	1	NA	31	4
54	55	num.authors.topic3	2.5	1	NA	32	4
56	57	contribution.sparseness5	0.025447	1	NA	33	4
0	0	NA	0	-1	1	34	4
58	59	num.displays5	3176.5	1	NA	35	4
60	61	attention.level.contrib2	0.0097615	1	NA	36	4
